# STN,Date,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,   TD,   SQ,    Q,   DR,   RH,   VV,    U,   IX,    M,    R,    S,    O,    Y
,,,,,,,,,,,,,,,,,,,,,
249,01/01/2021,20210101,1,260,10,10,20,-5,-9,0,0,0,0,34,97,7,0,0,0,0,0
249,01/01/2021,20210101,2,240,10,20,20,-5,-10,0,0,0,0,48,96,7,0,0,0,0,0
249,01/01/2021,20210101,3,230,20,20,30,4,-4,0,0,0,0,29,94,7,0,0,0,0,0
249,01/01/2021,20210101,4,230,30,30,30,12,2,0,0,0,0,39,93,7,0,0,0,0,0
249,01/01/2021,20210101,5,320,20,20,50,12,4,0,0,0,-1,49,94,7,0,1,0,0,0
249,01/01/2021,20210101,6,260,20,20,50,24,19,0,0,7,3,65,96,7,0,1,0,0,0
249,01/01/2021,20210101,7,0,10,0,30,27,23,0,1,2,3,65,97,7,0,1,0,0,0
249,01/01/2021,20210101,8,200,20,20,20,22,18,0,1,0,-1,63,97,7,0,1,0,0,0
249,01/01/2021,20210101,9,190,20,10,20,21,17,2,10,0,0,65,97,7,0,0,0,0,0
249,01/01/2021,20210101,10,220,20,30,40,46,39,5,31,0,0,59,94,7,0,0,0,0,0
249,01/01/2021,20210101,11,190,20,20,40,41,34,3,37,0,0,50,94,7,0,0,0,0,0
249,01/01/2021,20210101,12,220,10,20,20,59,41,7,58,0,0,60,87,7,0,0,0,0,0
249,01/01/2021,20210101,13,230,20,20,30,60,40,5,59,0,0,61,87,5,0,0,0,0,0
249,01/01/2021,20210101,14,270,20,20,30,67,47,8,49,0,0,61,87,5,0,0,0,0,0
249,01/01/2021,20210101,15,220,20,20,20,54,45,7,20,0,0,61,93,5,0,0,0,0,0
249,01/01/2021,20210101,16,200,20,30,30,32,28,0,3,0,0,60,97,5,0,0,0,0,0
249,01/01/2021,20210101,17,210,20,20,30,34,31,0,0,0,0,58,98,7,0,0,0,0,0
249,01/01/2021,20210101,18,220,20,20,30,38,34,0,0,0,0,62,97,5,0,0,0,0,0
249,01/01/2021,20210101,19,210,20,20,40,37,33,0,0,0,0,61,97,5,0,0,0,0,0
249,01/01/2021,20210101,20,220,30,30,40,37,33,0,0,0,0,65,96,5,0,0,0,0,0
249,01/01/2021,20210101,21,220,30,30,40,39,33,0,0,0,0,65,95,5,0,0,0,0,0
249,01/01/2021,20210101,22,230,30,20,40,42,37,0,0,0,0,65,96,5,0,0,0,0,0
249,01/01/2021,20210101,23,220,30,30,40,41,35,0,0,0,0,65,95,5,0,0,0,0,0
249,01/01/2021,20210101,24,230,30,20,40,31,27,0,0,0,0,65,97,5,0,0,0,0,0
249,02/01/2021,20210102,1,230,20,20,30,30,26,0,0,0,0,65,97,5,0,0,0,0,0
249,02/01/2021,20210102,2,230,20,20,30,29,26,0,0,0,0,58,98,7,0,0,0,0,0
249,02/01/2021,20210102,3,230,20,20,30,18,15,0,0,0,0,38,98,7,0,0,0,0,0
249,02/01/2021,20210102,4,240,20,20,30,11,8,0,0,0,0,36,98,7,0,0,0,0,0
249,02/01/2021,20210102,5,220,20,20,30,12,9,0,0,0,-1,56,98,7,0,1,0,0,0
