# STN,DATE,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   IX,    M,    R,    S,    O,    Y
,,,,,,,,,,,,,,,,,,,,,,,
344,01/01/2021,20210101,1,180,10,10,20,-32,-33,0,0,0,0,10062,0,6,99,7,1,0,0,0,1
344,01/01/2021,20210101,2,200,10,10,20,-20,-23,0,0,0,0,10065,0,0,98,7,1,0,0,0,1
344,01/01/2021,20210101,3,220,10,20,20,-15,-18,0,0,0,0,10067,1,8,98,7,1,0,0,0,1
344,01/01/2021,20210101,4,230,20,20,20,0,-3,0,0,0,0,10066,17,8,97,7,1,0,0,0,1
344,01/01/2021,20210101,5,230,20,30,40,-3,-5,0,0,0,0,10067,50,8,98,7,0,0,0,0,0
344,01/01/2021,20210101,6,220,30,30,40,2,-3,0,0,0,0,10069,65,8,96,7,0,0,0,0,0
344,01/01/2021,20210101,7,220,30,30,40,9,5,0,0,0,0,10072,65,8,97,5,0,0,0,0,0
344,01/01/2021,20210101,8,220,30,30,40,13,8,0,0,0,0,10075,65,8,96,5,0,0,0,0,0
344,01/01/2021,20210101,9,220,30,30,40,27,21,0,6,0,0,10080,65,8,96,5,0,0,0,0,0
344,01/01/2021,20210101,10,210,20,30,40,44,35,0,18,0,0,10084,64,8,93,5,0,0,0,0,0
344,01/01/2021,20210101,11,250,20,20,30,51,37,0,27,0,-1,10084,68,8,90,7,0,1,0,0,0
344,01/01/2021,20210101,12,260,30,50,70,67,41,7,65,0,-1,10082,70,8,83,7,0,1,0,0,0
344,01/01/2021,20210101,13,240,40,40,70,59,42,0,17,8,3,10082,63,8,89,7,0,1,0,0,0
344,01/01/2021,20210101,14,240,40,50,70,49,33,0,14,5,7,10083,70,7,89,7,0,1,0,0,0
344,01/01/2021,20210101,15,240,30,30,60,52,40,3,13,2,3,10088,62,8,92,7,0,1,0,0,0
344,01/01/2021,20210101,16,210,30,30,40,50,40,0,2,3,5,10090,65,8,93,7,0,1,0,0,0
344,01/01/2021,20210101,17,220,20,20,30,48,41,0,0,0,0,10093,65,8,95,5,0,0,0,0,0
